0, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 2, 1, 0, 0, 4, 4, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 6, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 
1, 2, 0, 0, 0, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 1, 3, 0, 0, 1, 5, 0, 0, 0, 1, 0, 0, 4, 1, 0, 0, 2, 1, 0, 0, 2, 3, 0, 0, 3, 3, 0, 0, 4, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 1, 0, 0, 10, 3, 0, 0, 2, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 13, 0, 0, 0, 2, 0, 0, 0, 11, 0, 0, 0, 2, 0, 0, 0, 
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 3, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 4, 0, 0, 4, 4, 0, 0, 7, 3, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 2, 2, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 
4, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 8, 0, 0, 0, 2, 1, 0, 0, 4, 0, 0, 0, 1, 3, 0, 0, 6, 5, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 
5, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 2, 0, 0, 0, 1, 0, 0, 3, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 9, 4, 0, 0, 1, 2, 0, 0, 4, 9, 0, 0, 3, 3, 0, 0, 7, 4, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 
6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 3, 4, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 6, 1, 0, 0, 4, 3, 0, 0, 7, 9, 0, 0, 1, 4, 0, 0, 9, 8, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 
7, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 2, 1, 0, 0, 8, 2, 0, 0, 2, 1, 0, 0, 4, 2, 0, 0, 6, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 1, 6, 0, 0, 2, 3, 0, 0, 4, 3, 0, 0, 7, 12, 0, 0, 6, 2, 0, 0, 7, 5, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 14, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 
8, 2, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 1, 3, 0, 0, 11, 3, 0, 0, 0, 1, 0, 0, 6, 3, 0, 0, 8, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 0, 2, 2, 0, 0, 4, 5, 0, 0, 1, 2, 0, 0, 7, 3, 0, 0, 6, 0, 0, 0, 8, 0, 0, 0, 14, 0, 0, 0, 5, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 11, 0, 0, 0, 
9, 0, 1, 0, 0, 2, 2, 0, 0, 5, 4, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 8, 1, 0, 0, 5, 4, 0, 0, 10, 0, 0, 0, 11, 1, 0, 0, 1, 1, 0, 0, 3, 6, 0, 0, 1, 5, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 5, 1, 0, 0, 4, 4, 0, 0, 6, 4, 0, 0, 17, 0, 0, 0, 10, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 11, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 
