0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 2, 3, 0, 0, 4, 0, 0, 0, 3, 2, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 
1, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 3, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 4, 3, 0, 0, 2, 0, 0, 0, 1, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 3, 2, 0, 0, 6, 0, 0, 0, 3, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
2, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 3, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 
3, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 2, 0, 0, 1, 3, 0, 0, 2, 1, 0, 0, 5, 1, 0, 0, 2, 8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 3, 3, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 6, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 15, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
4, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 7, 4, 0, 0, 3, 0, 0, 0, 6, 3, 0, 0, 4, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 4, 7, 0, 0, 4, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 3, 0, 0, 0, 20, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 16, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 
5, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 8, 4, 0, 0, 3, 1, 0, 0, 3, 2, 0, 0, 2, 3, 0, 0, 8, 5, 0, 0, 2, 3, 0, 0, 0, 1, 0, 0, 9, 5, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 23, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 
6, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 3, 0, 0, 4, 4, 0, 0, 2, 0, 0, 0, 4, 9, 0, 0, 3, 5, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 3, 0, 0, 3, 0, 0, 0, 9, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 6, 0, 0, 0, 9, 0, 0, 0, 16, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 
7, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 5, 2, 0, 0, 1, 3, 0, 0, 1, 2, 0, 0, 5, 1, 0, 0, 6, 2, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 4, 2, 0, 0, 3, 2, 0, 0, 2, 3, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 3, 0, 0, 0, 3, 6, 0, 0, 2, 9, 0, 0, 3, 0, 0, 0, 14, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 4, 0, 0, 0, 13, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 
8, 6, 6, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 3, 0, 0, 2, 1, 0, 0, 4, 5, 0, 0, 12, 2, 0, 0, 0, 1, 0, 0, 6, 8, 0, 0, 2, 3, 0, 0, 1, 4, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 10, 6, 0, 0, 8, 0, 0, 0, 16, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 16, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 3, 0, 0, 0, 
9, 3, 2, 0, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 8, 6, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 5, 7, 0, 0, 5, 3, 0, 0, 0, 0, 0, 0, 9, 7, 0, 0, 1, 4, 0, 0, 0, 4, 0, 0, 1, 3, 0, 0, 3, 3, 0, 0, 6, 7, 0, 0, 11, 6, 0, 0, 5, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 19, 0, 0, 0, 10, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
